N,EQ,titulo,lectura,categoria
29,42,Creación Ciencia Abierta Total,Investigación colaborativa global,Ciencia abierta
30,41,Soledad Umbral Humano,Desconexión emocional redes,Soledad digital
31,40,Laberinto Complejidad Extrema,Interdependencia riesgo cascada,Complejidad extrema
32,39,Espejo Datos Personales,Autoevaluación métricas vitales,Autoevaluación
33,38,Maestro Educación XR,Aprendizaje inmersivo,Educación inmersiva
34,37,Aprendizaje Flujo Logístico,Cadena suministros aula,Logística educativa
35,36,Confusión Ruido Digital,Infoxicación fake news,Confusión digital
36,35,Paciencia Microhábito Global,Mejoras por microacciones,Paciencia y microhábitos
37,34,Alianza Global Innovadores Raros,Minorías disruptivas protegidas,Alianzas globales
38,33,Confrontación Riesgo en Red,Conflictos amplificados,Confrontación digital
39,32,Curación Ciudades Restaurativas,Urbanismo que repara,Curación urbana
40,31,Travesía Protocolos Cuarentena,Movilidad controlada crisis,Protocolos de crisis
41,30,Reflejo Historial Vivo,Observación archivada tiempo real,Historial vivo
42,29,Sombra Subconsciente Colectivo,Tendencias ocultas bigdata,Subconsciente colectivo
43,28,Ancla Tradición Aumentada,Costumbres con tecnología,Tradición aumentada
44,27,Despertar Justicia Algorítmica,Auditoría sesgos IA,Justicia algorítmica
45,26,Puente Mediación Digital,Diálogo intercultural asistido,Mediación digital
46,25,Huella Transición Energética Digital,Optimizar consumo datos energía,Transición energética
47,24,Horizonte Narrativa Futura,Visión 10 a 30 años,Narrativa futura
48,23,Venganza Conflicto Cíclico,Espirales cancelación,Conflicto cíclico
49,22,Semilla Innovación Local,Ideas pequeñas gran impacto,Innovación local
50,21,Fin Poda Estratégica,Simplificación proactiva,Poda estratégica
51,20,Transformación Cambio Institucional,Adaptación en tiempo real,Transformación institucional
52,19,Trampa Bucle Productividad,Burnout crónico,Bucle productividad
53,18,Rebelion Educación en Red,Alfabetización crítica digital,Rebelión educativa
54,17,Fortaleza Cultura del Cuidado,Infraestructuras apoyo mutuo,Cultura del cuidado
55,16,Espejismo Crecimiento Vacío,Métricas superficiales éxito,Crecimiento vacío
56,15,Melancolía Mito del Pasado,Nostalgia amplificada,Melancolía colectiva
57,14,Conspiración Transparencia Radical,Desconfianza total datos abiertos,Conspiración transparencia
58,13,Promesa Optimismo Escalable,Innovaciones con impacto,Optimismo escalable
59,12,Conclusión Decisión Basada en Datos,Resoluciones con métricas,Decisión basada en datos
60,11,Legado Coordinación Intergeneracional,Planificación multigeneración,Coordinación intergeneracional
61,10,Identidad Minorías Motrices,Pequeños colectivos transforman,Identidad minorías
62,9,Lucha Seguridad Integral,Protección física cibernética,Seguridad integral
63,8,Olvido Gestión de Memoria,Curaduría narrativa social,Gestión de memoria
64,7,Ilusión Metaverso Escalable,Mundos virtuales masivos,Metaverso escalable
65,6,Sanación Mentoría Vital,Redes tutelaje,Mentoría vital
66,5,Desconexión Blanqueo Social,Nomadismo digital extremo,Desconexión social
67,4,Resiliencia Equilibrio Inestable,Fluctuación post crisis,Resiliencia y equilibrio
68,3,Renacimiento Protesta Creativa,Expresión artística catalizador,Protesta creativa
69,2,Fusión Pactos Win Win,Integración estratégica intercultural,Fusión estratégica
70,1,Círculo Regeneración Total,Retorno esencial tecnología verde,Regeneración total
71,30,Interfaces / Humano-IA,Copilotos ubicuos en trabajo y vida,Tecno-cultura
72,29,Memoria / Datos Personales,Cofres de datos y portabilidad,Identidad
73,28,Biotech / Diseño de Vida,Edición genética de precisión comunitaria,Transformación
74,27,Sintetizadores / Media,Generación audiovisual fidedigna,Información
75,26,Privacidad / Trazabilidad Selectiva,Consentimiento granular en ecosistemas,Gobernanza
76,25,Economías / Micro-licencias,Pago por uso de modelos y datos,Economía
77,24,Hiperpersonalización / Ritmo,Algoritmos ajustan cadencias vitales,Bienestar
78,23,Infra / Edge Inteligente,Cómputo en borde soberano,Infraestructura
79,22,Educación / Simulaciones,Currículos en mundos sintéticos,Sociedad
80,21,Trabajo / Equipos Mixtos,Células humano-IA con contratos claros,Organización
81,20,Gobernanza / Modelos Abiertos,Ciclos de mejora y custodia comunitaria,Gobernanza
82,19,Auditoría / Algoritmos Cívicos,Verificabilidad pública de sistemas críticos,Justicia
83,18,Salud Mental / Digital,Diseño para bienestar y prevención de daño,Bienestar
84,17,Identidades / Avatares Verificados,Pruebas de humanidad y reputación,Identidad
85,16,Energía / Redes Distribuidas,Micro-grids inteligentes y prosumidores,Infraestructura
86,15,Cadenas / Resiliencia,Mapeo de riesgos y buffers logísticos,Resiliencia
87,14,Respuesta / Clima Extremo,Protocolos de acción rápida multi-agencia,Seguridad
88,13,Seguridad / Agro-tecnología,"Suelos, sensores y cultivos resilientes",Alimentos
89,12,Ciberdefensa / Infra Crítica,Zero-trust y ejercicios de mesa,Seguridad
90,11,Continuidad / Multi-fallo,Diseño activo-activo y degradación elegante,Resiliencia
91,10,Migración / Ciudades de Acogida,Integración ágil y cadenas de apoyo,Sociedad
92,9,Justicia / Adaptación Climática,Priorización de vulnerables y compensación,Justicia
93,8,Finanzas / Antifrágiles,Amortiguadores y cortacircuitos sociales,Economía
94,7,Crisis / Comunicación Confiable,Canales verificados y mensajes claros,Información
95,6,Recualificación / Trabajo,Reentrenamiento masivo humano-IA,Organización
96,5,Metagobernanza / IA Ética,Principios aplicados con trazabilidad,Gobernanza
97,4,Estándares / Interoperabilidad,Protocolos abiertos y pruebas de conformidad,Gobernanza
98,3,Derecho / Algorítmico,Deber de explicación y reparación,Justicia
99,2,Soberanía / Digital Cooperativa,Infra compartida y gobernanza multi-actor,Sociedad
100,1,Transición / Pacto Social,Acuerdos amplios para era algorítmica,Metagobernanza
